account_name,sector_guess,country,account_owner,crm_record_type,priority,contract_end_date,employee_count_band,start_engagement_by,notes
Worksop College,Education,England,Marketo,Prospect,,,,,
The McAuley Catholic High School Doncaster,Education,,Joshua Annerson,Prospect,,,,,
Young Foundations,Non-profit,,Marketo,Prospect,,,,,
St Gregory's Catholic School,Education,,Marketo,Prospect,,,,,
St Augustine's CE High School,Education,,Marketo,Prospect,,,,,
Great Corby Primary School,Education,,Marketo,Prospect,,,,,
Doucecroft School,Education,,Marketo,Prospect,,,,,
Sir William Perkins's School,Education,,Adam Mitchell-Whitcombe,Prospect,,,,,
St Bartholomew's School,Education,England,BIS Administrator,Prospect,,,,,
Notre Dame School Cobham,Education,England,Joshua Annerson,Prospect,,,,,
Denstone College,Education,England,Marketo,Prospect,,,,,
"The King's School, Grantham",Education,,Marketo,Prospect,,,,,
Castleford Academy,Education,,Marketo,Prospect,,,,,
Ashbridge Independent School And Nurseries,Education,,Marketo,Prospect,,,,,
Tytherington School,Education,England,Marketo,Prospect,,,,,
Ackworth School,Education,,Marketo,Prospect,,,,,
Sedbergh School,Education,,Joshua Annerson,Prospect,,,,,
John Masefield High School,Education,,Marketo,Prospect,,,,,
Ashford School,Education,,Marketo,Prospect,,,,,
Hollingworth Academy,Education,,Marketo,Prospect,,,,,
Huxlow Science College,Education,England,Marketo,Prospect,,,,,
Minsthorpe Community College,Education,,Marketo,Prospect,,,,,
The Maplesden Noakes School,Education,,Joshua Annerson,Prospect,,,,,
Burnham Grammar School,Education,,Marketo,Prospect,,,,,
Lochinver House School,Education,,Joshua Annerson,Prospect,,,,,
Alfriston School,Education,,Marketo,Prospect,,,,,
Hill House School,Education,England,Haidee Shaw,Prospect,,,,,
Roedean School,Education,,Integration Cloudingo,Prospect,,,,,
Walhampton School,Education,,Haidee Shaw,Prospect,,,,,
Cleeve School,Education,England,Frankie Burchell,Prospect,,,,,
HIGHFIELDS SCHOOL,Education,England,Marketo,Prospect,,,,,
St Francis College,Education,,Marketo,Prospect,,,,,
King Edward's Witley,Unclassified,England,Marketo,Prospect,,,,,
Northern Star Academies Trust,Education,,Haidee Shaw,Prospect,,,,,
Worth School,Education,England,Marketo,Prospect,,,,,
Gresham's School,Education,,Joshua Annerson,Prospect,,,,,
Parkside Community College,Education,,Marketo,Prospect,,,,,
Sawston Village College,Education,,Marketo,Prospect,,,,,
The Elizabethan Academy Trust,Education,England,Marketo,Prospect,,,,,
St Gregory the Great Catholic Academy Trust,Education,,Marketo,Prospect,,,,,
Pontefract Carleton Park Junior and Infant School,Education,,Marketo,Prospect,,,,,
RGS Worcester,Unclassified,,Marketo,Prospect,,,,,
Queen Margaret's School,Education,,Marketo,Prospect,,,,,
Norwich School,Education,England,Kiel Van Vollenhoven,Prospect,,,,,
Concord College,Education,Wales,Haidee Shaw,Prospect,,,,,
Moon Hall School Reigate,Education,,Marketo,Prospect,,,,,
Guilsborough School,Education,,Marketo,Prospect,,,,,
Solefield School,Education,,Marketo,Prospect,,,,,
Walthamstow Hall,Unclassified,,Marketo,Prospect,,,,,
The Hawthorns School,Education,England,Integration Cloudingo,Prospect,,,,,
Blenheim High School,Education,,Marketo,Prospect,,,,,
Ark Alexandra Academy,Education,,Marketo,Prospect,,,,,
Saint Ronan's School,Education,,Marketo,Prospect,,,,,
Hoe Bridge School,Education,,Marketo,Prospect,,,,,
West Buckland School,Education,England,Integration Cloudingo,Prospect,,,,,
THE CANTERBURY ACADEMY,Education,England,Joshua Annerson,Prospect,,,,,
Eggbuckland Community College,Education,,Marketo,Prospect,,,,,
Aldwickbury School,Education,,Daisy Watson,Prospect,,,,,
Talbot Heath School,Education,England,BIS Administrator,Prospect,,,,,
Dixons Allerton Academy,Education,England,Marketo,Prospect,,,,,
Battle Abbey School,Education,,Marketo,Prospect,,,,,
The John of Gaunt School,Education,England,Marketo,Prospect,,,,,
Furze Platt Senior School,Education,,Marketo,Prospect,,,,,
